country,league,home_team,away_team,date,season,home_team_goal,away_team_goal
England,England Premier League,Hull City,Sunderland,2010-04-24 00:00:00,2009/2010,0,1
England,England Premier League,Wolverhampton Wanderers,Blackburn Rovers,2010-04-24 00:00:00,2009/2010,1,1
England,England Premier League,West Ham United,Wigan Athletic,2010-04-24 00:00:00,2009/2010,3,2
England,England Premier League,Manchester United,Tottenham Hotspur,2010-04-24 00:00:00,2009/2010,3,1
England,England Premier League,Chelsea,Stoke City,2010-04-25 00:00:00,2009/2010,7,0
England,England Premier League,Burnley,Liverpool,2010-04-25 00:00:00,2009/2010,0,4
England,England Premier League,Bolton Wanderers,Portsmouth,2010-04-24 00:00:00,2009/2010,2,2
England,England Premier League,Aston Villa,Birmingham City,2010-04-25 00:00:00,2009/2010,1,0
England,England Premier League,Arsenal,Manchester City,2010-04-24 00:00:00,2009/2010,0,0
England,England Premier League,Wigan Athletic,Hull City,2010-05-03 00:00:00,2009/2010,2,2
England,England Premier League,Tottenham Hotspur,Bolton Wanderers,2010-05-01 00:00:00,2009/2010,1,0
England,England Premier League,Sunderland,Manchester United,2010-05-02 00:00:00,2009/2010,0,1
England,England Premier League,Stoke City,Everton,2010-05-01 00:00:00,2009/2010,0,0
England,England Premier League,Portsmouth,Wolverhampton Wanderers,2010-05-01 00:00:00,2009/2010,3,1
England,England Premier League,Manchester City,Aston Villa,2010-05-01 00:00:00,2009/2010,3,1
England,England Premier League,Birmingham City,Burnley,2010-05-01 00:00:00,2009/2010,2,1
England,England Premier League,Blackburn Rovers,Arsenal,2010-05-03 00:00:00,2009/2010,2,1
England,England Premier League,Fulham,West Ham United,2010-05-02 00:00:00,2009/2010,3,2
England,England Premier League,Liverpool,Chelsea,2010-05-02 00:00:00,2009/2010,0,2
England,England Premier League,Wolverhampton Wanderers,Sunderland,2010-05-09 00:00:00,2009/2010,2,1
England,England Premier League,Everton,Portsmouth,2010-05-09 00:00:00,2009/2010,1,0
England,England Premier League,Chelsea,Wigan Athletic,2010-05-09 00:00:00,2009/2010,8,0
England,England Premier League,Burnley,Tottenham Hotspur,2010-05-09 00:00:00,2009/2010,4,2
England,England Premier League,Bolton Wanderers,Birmingham City,2010-05-09 00:00:00,2009/2010,2,1
England,England Premier League,Aston Villa,Blackburn Rovers,2010-05-09 00:00:00,2009/2010,0,1
England,England Premier League,Arsenal,Fulham,2010-05-09 00:00:00,2009/2010,4,0
England,England Premier League,Manchester United,Stoke City,2010-05-09 00:00:00,2009/2010,4,0
England,England Premier League,West Ham United,Manchester City,2010-05-09 00:00:00,2009/2010,1,1
England,England Premier League,Hull City,Liverpool,2010-05-09 00:00:00,2009/2010,0,0
England,England Premier League,Manchester United,Arsenal,2009-08-29 00:00:00,2009/2010,2,1
England,England Premier League,Tottenham Hotspur,Birmingham City,2009-08-29 00:00:00,2009/2010,2,1
England,England Premier League,Aston Villa,Fulham,2009-08-30 00:00:00,2009/2010,2,0
England,England Premier League,Everton,Wigan Athletic,2009-08-30 00:00:00,2009/2010,2,1
England,England Premier League,Wolverhampton Wanderers,Hull City,2009-08-29 00:00:00,2009/2010,1,1
England,England Premier League,Blackburn Rovers,West Ham United,2009-08-29 00:00:00,2009/2010,0,0
England,England Premier League,Bolton Wanderers,Liverpool,2009-08-29 00:00:00,2009/2010,2,3
England,England Premier League,Portsmouth,Manchester City,2009-08-30 00:00:00,2009/2010,0,1
England,England Premier League,Stoke City,Sunderland,2009-08-29 00:00:00,2009/2010,1,0
England,England Premier League,Chelsea,Burnley,2009-08-29 00:00:00,2009/2010,3,0
England,England Premier League,Liverpool,Burnley,2009-09-12 00:00:00,2009/2010,4,0
England,England Premier League,Sunderland,Hull City,2009-09-12 00:00:00,2009/2010,4,1
England,England Premier League,Tottenham Hotspur,Manchester United,2009-09-12 00:00:00,2009/2010,1,3
England,England Premier League,Manchester City,Arsenal,2009-09-12 00:00:00,2009/2010,4,2
England,England Premier League,Blackburn Rovers,Wolverhampton Wanderers,2009-09-12 00:00:00,2009/2010,3,1
England,England Premier League,Fulham,Everton,2009-09-13 00:00:00,2009/2010,2,1
England,England Premier League,Birmingham City,Aston Villa,2009-09-13 00:00:00,2009/2010,0,1
England,England Premier League,Portsmouth,Bolton Wanderers,2009-09-12 00:00:00,2009/2010,2,3
England,England Premier League,Stoke City,Chelsea,2009-09-12 00:00:00,2009/2010,1,2
England,England Premier League,Wigan Athletic,West Ham United,2009-09-12 00:00:00,2009/2010,1,0
England,England Premier League,Manchester United,Manchester City,2009-09-20 00:00:00,2009/2010,4,3
England,England Premier League,Arsenal,Wigan Athletic,2009-09-19 00:00:00,2009/2010,4,0
England,England Premier League,West Ham United,Liverpool,2009-09-19 00:00:00,2009/2010,2,3
England,England Premier League,Aston Villa,Portsmouth,2009-09-19 00:00:00,2009/2010,2,0
England,England Premier League,Everton,Blackburn Rovers,2009-09-20 00:00:00,2009/2010,3,0
England,England Premier League,Wolverhampton Wanderers,Fulham,2009-09-20 00:00:00,2009/2010,2,1
England,England Premier League,Bolton Wanderers,Stoke City,2009-09-19 00:00:00,2009/2010,1,1
England,England Premier League,Hull City,Birmingham City,2009-09-19 00:00:00,2009/2010,0,1
England,England Premier League,Burnley,Sunderland,2009-09-19 00:00:00,2009/2010,3,1
England,England Premier League,Chelsea,Tottenham Hotspur,2009-09-20 00:00:00,2009/2010,3,0
England,England Premier League,Liverpool,Hull City,2009-09-26 00:00:00,2009/2010,6,1
England,England Premier League,Tottenham Hotspur,Burnley,2009-09-26 00:00:00,2009/2010,5,0
England,England Premier League,Wigan Athletic,Chelsea,2009-09-26 00:00:00,2009/2010,3,1
England,England Premier League,Sunderland,Wolverhampton Wanderers,2009-09-27 00:00:00,2009/2010,5,2
England,England Premier League,Stoke City,Manchester United,2009-09-26 00:00:00,2009/2010,0,2
England,England Premier League,Portsmouth,Everton,2009-09-26 00:00:00,2009/2010,0,1
England,England Premier League,Manchester City,West Ham United,2009-09-28 00:00:00,2009/2010,3,1
England,England Premier League,Fulham,Arsenal,2009-09-26 00:00:00,2009/2010,0,1
England,England Premier League,Blackburn Rovers,Aston Villa,2009-09-26 00:00:00,2009/2010,2,1
England,England Premier League,Birmingham City,Bolton Wanderers,2009-09-26 00:00:00,2009/2010,1,2
England,England Premier League,Manchester United,Sunderland,2009-10-03 00:00:00,2009/2010,2,2
England,England Premier League,Wolverhampton Wanderers,Portsmouth,2009-10-03 00:00:00,2009/2010,0,1
England,England Premier League,West Ham United,Fulham,2009-10-04 00:00:00,2009/2010,2,2
England,England Premier League,Everton,Stoke City,2009-10-04 00:00:00,2009/2010,1,1
England,England Premier League,Chelsea,Liverpool,2009-10-04 00:00:00,2009/2010,2,0
England,England Premier League,Burnley,Birmingham City,2009-10-03 00:00:00,2009/2010,2,1
England,England Premier League,Bolton Wanderers,Tottenham Hotspur,2009-10-03 00:00:00,2009/2010,2,2
England,England Premier League,Hull City,Wigan Athletic,2009-10-03 00:00:00,2009/2010,2,1
England,England Premier League,Aston Villa,Manchester City,2009-10-05 00:00:00,2009/2010,1,1
England,England Premier League,Arsenal,Blackburn Rovers,2009-10-04 00:00:00,2009/2010,6,2
England,England Premier League,Stoke City,West Ham United,2009-10-17 00:00:00,2009/2010,2,1
England,England Premier League,Manchester United,Bolton Wanderers,2009-10-17 00:00:00,2009/2010,2,1
England,England Premier League,Fulham,Hull City,2009-10-19 00:00:00,2009/2010,2,0
England,England Premier League,Everton,Wolverhampton Wanderers,2009-10-17 00:00:00,2009/2010,1,1
England,England Premier League,Blackburn Rovers,Burnley,2009-10-18 00:00:00,2009/2010,3,2
England,England Premier League,Aston Villa,Chelsea,2009-10-17 00:00:00,2009/2010,2,1
England,England Premier League,Sunderland,Liverpool,2009-10-17 00:00:00,2009/2010,1,0
England,England Premier League,Wigan Athletic,Manchester City,2009-10-18 00:00:00,2009/2010,1,1
England,England Premier League,Portsmouth,Tottenham Hotspur,2009-10-17 00:00:00,2009/2010,1,2
England,England Premier League,Arsenal,Birmingham City,2009-10-17 00:00:00,2009/2010,3,1
England,England Premier League,Aston Villa,West Ham United,2010-08-14 00:00:00,2010/2011,3,0
England,England Premier League,Blackburn Rovers,Everton,2010-08-14 00:00:00,2010/2011,1,0
England,England Premier League,Bolton Wanderers,Fulham,2010-08-14 00:00:00,2010/2011,0,0
England,England Premier League,Chelsea,West Bromwich Albion,2010-08-14 00:00:00,2010/2011,6,0
England,England Premier League,Liverpool,Arsenal,2010-08-15 00:00:00,2010/2011,1,1
England,England Premier League,Manchester United,Newcastle United,2010-08-16 00:00:00,2010/2011,3,0
England,England Premier League,Sunderland,Birmingham City,2010-08-14 00:00:00,2010/2011,2,2
England,England Premier League,Tottenham Hotspur,Manchester City,2010-08-14 00:00:00,2010/2011,0,0
England,England Premier League,Wolverhampton Wanderers,Stoke City,2010-08-14 00:00:00,2010/2011,2,1
England,England Premier League,Wigan Athletic,Blackpool,2010-08-14 00:00:00,2010/2011,0,4
England,England Premier League,Manchester United,Tottenham Hotspur,2010-10-30 00:00:00,2010/2011,2,0
England,England Premier League,Arsenal,West Ham United,2010-10-30 00:00:00,2010/2011,1,0
England,England Premier League,Aston Villa,Birmingham City,2010-10-31 00:00:00,2010/2011,0,0
England,England Premier League,Everton,Stoke City,2010-10-30 00:00:00,2010/2011,1,0
England,England Premier League,Newcastle United,Sunderland,2010-10-31 00:00:00,2010/2011,5,1
England,England Premier League,Wolverhampton Wanderers,Manchester City,2010-10-30 00:00:00,2010/2011,2,1
England,England Premier League,Blackburn Rovers,Chelsea,2010-10-30 00:00:00,2010/2011,1,2
England,England Premier League,Fulham,Wigan Athletic,2010-10-30 00:00:00,2010/2011,2,0
England,England Premier League,Bolton Wanderers,Liverpool,2010-10-31 00:00:00,2010/2011,0,1
England,England Premier League,Blackpool,West Bromwich Albion,2010-11-01 00:00:00,2010/2011,2,1
England,England Premier League,Manchester United,Wolverhampton Wanderers,2010-11-06 00:00:00,2010/2011,2,1
England,England Premier League,Arsenal,Newcastle United,2010-11-07 00:00:00,2010/2011,0,1
England,England Premier League,Liverpool,Chelsea,2010-11-07 00:00:00,2010/2011,2,0
England,England Premier League,Sunderland,Stoke City,2010-11-06 00:00:00,2010/2011,2,0
England,England Premier League,Blackburn Rovers,Wigan Athletic,2010-11-06 00:00:00,2010/2011,2,1
England,England Premier League,Fulham,Aston Villa,2010-11-06 00:00:00,2010/2011,1,1
England,England Premier League,Birmingham City,West Ham United,2010-11-06 00:00:00,2010/2011,2,2
England,England Premier League,Bolton Wanderers,Tottenham Hotspur,2010-11-06 00:00:00,2010/2011,4,2
England,England Premier League,West Bromwich Albion,Manchester City,2010-11-07 00:00:00,2010/2011,0,2
England,England Premier League,Blackpool,Everton,2010-11-06 00:00:00,2010/2011,2,2
England,England Premier League,Tottenham Hotspur,Sunderland,2010-11-09 00:00:00,2010/2011,1,1
England,England Premier League,West Ham United,West Bromwich Albion,2010-11-10 00:00:00,2010/2011,2,2
England,England Premier League,Wolverhampton Wanderers,Arsenal,2010-11-10 00:00:00,2010/2011,0,2
England,England Premier League,Stoke City,Birmingham City,2010-11-09 00:00:00,2010/2011,3,2
England,England Premier League,Wigan Athletic,Liverpool,2010-11-10 00:00:00,2010/2011,1,1
England,England Premier League,Aston Villa,Blackpool,2010-11-10 00:00:00,2010/2011,3,2
England,England Premier League,Everton,Bolton Wanderers,2010-11-10 00:00:00,2010/2011,1,1
England,England Premier League,Newcastle United,Blackburn Rovers,2010-11-10 00:00:00,2010/2011,1,2
England,England Premier League,Manchester City,Manchester United,2010-11-10 00:00:00,2010/2011,0,0
England,England Premier League,Chelsea,Fulham,2010-11-10 00:00:00,2010/2011,1,0
England,England Premier League,Tottenham Hotspur,Blackburn Rovers,2010-11-13 00:00:00,2010/2011,4,2
England,England Premier League,West Ham United,Blackpool,2010-11-13 00:00:00,2010/2011,0,0
England,England Premier League,Aston Villa,Manchester United,2010-11-13 00:00:00,2010/2011,2,2
England,England Premier League,Everton,Arsenal,2010-11-14 00:00:00,2010/2011,1,2
England,England Premier League,Newcastle United,Fulham,2010-11-13 00:00:00,2010/2011,0,0
England,England Premier League,Manchester City,Birmingham City,2010-11-13 00:00:00,2010/2011,0,0
England,England Premier League,Wolverhampton Wanderers,Bolton Wanderers,2010-11-13 00:00:00,2010/2011,2,3
England,England Premier League,Stoke City,Liverpool,2010-11-13 00:00:00,2010/2011,2,0
England,England Premier League,Wigan Athletic,West Bromwich Albion,2010-11-13 00:00:00,2010/2011,1,0
England,England Premier League,Chelsea,Sunderland,2010-11-14 00:00:00,2010/2011,0,3
England,England Premier League,Manchester United,Wigan Athletic,2010-11-20 00:00:00,2010/2011,2,0
England,England Premier League,Arsenal,Tottenham Hotspur,2010-11-20 00:00:00,2010/2011,2,3
England,England Premier League,Liverpool,West Ham United,2010-11-20 00:00:00,2010/2011,3,0
England,England Premier League,Sunderland,Everton,2010-11-22 00:00:00,2010/2011,2,2
England,England Premier League,Blackburn Rovers,Aston Villa,2010-11-21 00:00:00,2010/2011,2,0
England,England Premier League,Fulham,Manchester City,2010-11-21 00:00:00,2010/2011,1,4
England,England Premier League,Birmingham City,Chelsea,2010-11-20 00:00:00,2010/2011,1,0
England,England Premier League,Bolton Wanderers,Newcastle United,2010-11-20 00:00:00,2010/2011,5,1
England,England Premier League,West Bromwich Albion,Stoke City,2010-11-20 00:00:00,2010/2011,0,3
England,England Premier League,Blackpool,Wolverhampton Wanderers,2010-11-20 00:00:00,2010/2011,2,1
England,England Premier League,Manchester United,Blackburn Rovers,2010-11-27 00:00:00,2010/2011,7,1
England,England Premier League,Tottenham Hotspur,Liverpool,2010-11-28 00:00:00,2010/2011,2,1
England,England Premier League,West Ham United,Wigan Athletic,2010-11-27 00:00:00,2010/2011,3,1
England,England Premier League,Aston Villa,Arsenal,2010-11-27 00:00:00,2010/2011,2,4
England,England Premier League,Everton,West Bromwich Albion,2010-11-27 00:00:00,2010/2011,1,4
England,England Premier League,Newcastle United,Chelsea,2010-11-28 00:00:00,2010/2011,1,1
England,England Premier League,Wolverhampton Wanderers,Sunderland,2010-11-27 00:00:00,2010/2011,3,2
England,England Premier League,Fulham,Birmingham City,2010-11-27 00:00:00,2010/2011,1,1
England,England Premier League,Bolton Wanderers,Blackpool,2010-11-27 00:00:00,2010/2011,2,2
England,England Premier League,Stoke City,Manchester City,2010-11-27 00:00:00,2010/2011,1,1
England,England Premier League,Arsenal,Fulham,2010-12-04 00:00:00,2010/2011,2,1
England,England Premier League,Liverpool,Aston Villa,2010-12-06 00:00:00,2010/2011,3,0
England,England Premier League,Sunderland,West Ham United,2010-12-05 00:00:00,2010/2011,1,0
England,England Premier League,Manchester City,Bolton Wanderers,2010-12-04 00:00:00,2010/2011,1,0
England,England Premier League,Blackburn Rovers,Wolverhampton Wanderers,2010-12-04 00:00:00,2010/2011,3,0
England,England Premier League,Birmingham City,Tottenham Hotspur,2010-12-04 00:00:00,2010/2011,1,1
England,England Premier League,West Bromwich Albion,Newcastle United,2010-12-05 00:00:00,2010/2011,3,1
England,England Premier League,Blackpool,Manchester United,2011-01-25 00:00:00,2010/2011,2,3
England,England Premier League,Wigan Athletic,Stoke City,2010-12-04 00:00:00,2010/2011,2,2
England,England Premier League,Chelsea,Everton,2010-12-04 00:00:00,2010/2011,1,1
England,England Premier League,Manchester United,Arsenal,2010-12-13 00:00:00,2010/2011,1,0
England,England Premier League,Tottenham Hotspur,Chelsea,2010-12-12 00:00:00,2010/2011,1,1
England,England Premier League,West Ham United,Manchester City,2010-12-11 00:00:00,2010/2011,1,3
England,England Premier League,Aston Villa,West Bromwich Albion,2010-12-11 00:00:00,2010/2011,2,1
England,England Premier League,Everton,Wigan Athletic,2010-12-11 00:00:00,2010/2011,0,0
England,England Premier League,Newcastle United,Liverpool,2010-12-11 00:00:00,2010/2011,3,1
England,England Premier League,Wolverhampton Wanderers,Birmingham City,2010-12-12 00:00:00,2010/2011,1,0
England,England Premier League,Fulham,Sunderland,2010-12-11 00:00:00,2010/2011,0,0
England,England Premier League,Bolton Wanderers,Blackburn Rovers,2010-12-12 00:00:00,2010/2011,2,1
England,England Premier League,Stoke City,Blackpool,2010-12-11 00:00:00,2010/2011,0,1
England,England Premier League,Arsenal,Stoke City,2011-02-23 00:00:00,2010/2011,1,0
England,England Premier League,Liverpool,Fulham,2011-01-26 00:00:00,2010/2011,1,0
England,England Premier League,Sunderland,Bolton Wanderers,2010-12-18 00:00:00,2010/2011,1,0
England,England Premier League,Manchester City,Everton,2010-12-20 00:00:00,2010/2011,1,2
England,England Premier League,Blackburn Rovers,West Ham United,2010-12-18 00:00:00,2010/2011,1,1
England,England Premier League,Birmingham City,Newcastle United,2011-02-15 00:00:00,2010/2011,0,2
England,England Premier League,West Bromwich Albion,Wolverhampton Wanderers,2011-02-20 00:00:00,2010/2011,1,1
England,England Premier League,Blackpool,Tottenham Hotspur,2011-02-22 00:00:00,2010/2011,3,1
England,England Premier League,Wigan Athletic,Aston Villa,2011-01-25 00:00:00,2010/2011,1,2
England,England Premier League,Chelsea,Manchester United,2011-03-01 00:00:00,2010/2011,2,1
England,England Premier League,Manchester United,Sunderland,2010-12-26 00:00:00,2010/2011,2,0
England,England Premier League,Arsenal,Chelsea,2010-12-27 00:00:00,2010/2011,3,1
England,England Premier League,Aston Villa,Tottenham Hotspur,2010-12-26 00:00:00,2010/2011,1,2
England,England Premier League,Everton,Birmingham City,2011-03-09 00:00:00,2010/2011,1,1
England,England Premier League,Newcastle United,Manchester City,2010-12-26 00:00:00,2010/2011,1,3
England,England Premier League,Wolverhampton Wanderers,Wigan Athletic,2010-12-26 00:00:00,2010/2011,1,2
England,England Premier League,Blackburn Rovers,Stoke City,2010-12-26 00:00:00,2010/2011,0,2
England,England Premier League,Fulham,West Ham United,2010-12-26 00:00:00,2010/2011,1,3
England,England Premier League,Bolton Wanderers,West Bromwich Albion,2010-12-26 00:00:00,2010/2011,2,0
England,England Premier League,Blackpool,Liverpool,2011-01-12 00:00:00,2010/2011,2,1
England,England Premier League,Arsenal,Blackpool,2010-08-21 00:00:00,2010/2011,6,0
England,England Premier League,West Ham United,Bolton Wanderers,2010-08-21 00:00:00,2010/2011,1,3
England,England Premier League,Everton,Wolverhampton Wanderers,2010-08-21 00:00:00,2010/2011,1,1
England,England Premier League,Newcastle United,Aston Villa,2010-08-22 00:00:00,2010/2011,6,0
England,England Premier League,Manchester City,Liverpool,2010-08-23 00:00:00,2010/2011,3,0
England,England Premier League,Fulham,Manchester United,2010-08-22 00:00:00,2010/2011,2,2
England,England Premier League,Birmingham City,Blackburn Rovers,2010-08-21 00:00:00,2010/2011,2,1
England,England Premier League,West Bromwich Albion,Sunderland,2010-08-21 00:00:00,2010/2011,1,0
England,England Premier League,Stoke City,Tottenham Hotspur,2010-08-21 00:00:00,2010/2011,1,2
England,England Premier League,Wigan Athletic,Chelsea,2010-08-21 00:00:00,2010/2011,0,6
England,England Premier League,Liverpool,Wolverhampton Wanderers,2010-12-29 00:00:00,2010/2011,0,1
England,England Premier League,Sunderland,Blackpool,2010-12-28 00:00:00,2010/2011,0,2
England,England Premier League,Tottenham Hotspur,Newcastle United,2010-12-28 00:00:00,2010/2011,2,0
England,England Premier League,West Ham United,Everton,2010-12-28 00:00:00,2010/2011,1,1
England,England Premier League,Manchester City,Aston Villa,2010-12-28 00:00:00,2010/2011,4,0
England,England Premier League,Birmingham City,Manchester United,2010-12-28 00:00:00,2010/2011,1,1
England,England Premier League,West Bromwich Albion,Blackburn Rovers,2010-12-28 00:00:00,2010/2011,1,3
England,England Premier League,Stoke City,Fulham,2010-12-28 00:00:00,2010/2011,0,2
England,England Premier League,Wigan Athletic,Arsenal,2010-12-29 00:00:00,2010/2011,2,2
England,England Premier League,Chelsea,Bolton Wanderers,2010-12-29 00:00:00,2010/2011,1,0
England,England Premier League,Liverpool,Bolton Wanderers,2011-01-01 00:00:00,2010/2011,2,1
England,England Premier League,Sunderland,Blackburn Rovers,2011-01-01 00:00:00,2010/2011,3,0
England,England Premier League,Tottenham Hotspur,Fulham,2011-01-01 00:00:00,2010/2011,1,0
England,England Premier League,West Ham United,Wolverhampton Wanderers,2011-01-01 00:00:00,2010/2011,2,0
England,England Premier League,Manchester City,Blackpool,2011-01-01 00:00:00,2010/2011,1,0
England,England Premier League,Birmingham City,Arsenal,2011-01-01 00:00:00,2010/2011,0,3
England,England Premier League,West Bromwich Albion,Manchester United,2011-01-01 00:00:00,2010/2011,1,2
England,England Premier League,Stoke City,Everton,2011-01-01 00:00:00,2010/2011,2,0
England,England Premier League,Wigan Athletic,Newcastle United,2011-01-02 00:00:00,2010/2011,0,1
England,England Premier League,Chelsea,Aston Villa,2011-01-02 00:00:00,2010/2011,3,3
England,England Premier League,Manchester United,Stoke City,2011-01-04 00:00:00,2010/2011,2,1
England,England Premier League,Arsenal,Manchester City,2011-01-05 00:00:00,2010/2011,0,0
England,England Premier League,Wolverhampton Wanderers,Chelsea,2011-01-05 00:00:00,2010/2011,1,0
England,England Premier League,Bolton Wanderers,Wigan Athletic,2011-01-05 00:00:00,2010/2011,1,1
England,England Premier League,Blackpool,Birmingham City,2011-01-04 00:00:00,2010/2011,1,2
England,England Premier League,Aston Villa,Sunderland,2011-01-05 00:00:00,2010/2011,0,1
England,England Premier League,Everton,Tottenham Hotspur,2011-01-05 00:00:00,2010/2011,2,1
England,England Premier League,Newcastle United,West Ham United,2011-01-05 00:00:00,2010/2011,5,0
England,England Premier League,Blackburn Rovers,Liverpool,2011-01-05 00:00:00,2010/2011,3,1
England,England Premier League,Fulham,West Bromwich Albion,2011-01-04 00:00:00,2010/2011,3,0
England,England Premier League,Liverpool,Everton,2011-01-16 00:00:00,2010/2011,2,2
England,England Premier League,Sunderland,Newcastle United,2011-01-16 00:00:00,2010/2011,1,1
England,England Premier League,Tottenham Hotspur,Manchester United,2011-01-16 00:00:00,2010/2011,0,0
England,England Premier League,West Ham United,Arsenal,2011-01-15 00:00:00,2010/2011,0,3
England,England Premier League,Manchester City,Wolverhampton Wanderers,2011-01-15 00:00:00,2010/2011,4,3
England,England Premier League,Birmingham City,Aston Villa,2011-01-16 00:00:00,2010/2011,1,1
England,England Premier League,West Bromwich Albion,Blackpool,2011-01-15 00:00:00,2010/2011,3,2
England,England Premier League,Stoke City,Bolton Wanderers,2011-01-15 00:00:00,2010/2011,2,0
England,England Premier League,Wigan Athletic,Fulham,2011-01-15 00:00:00,2010/2011,1,1
England,England Premier League,Chelsea,Blackburn Rovers,2011-01-15 00:00:00,2010/2011,2,0
England,England Premier League,Manchester United,Birmingham City,2011-01-22 00:00:00,2010/2011,5,0
England,England Premier League,Arsenal,Wigan Athletic,2011-01-22 00:00:00,2010/2011,3,0
England,England Premier League,Aston Villa,Manchester City,2011-01-22 00:00:00,2010/2011,1,0
England,England Premier League,Everton,West Ham United,2011-01-22 00:00:00,2010/2011,2,2
England,England Premier League,Newcastle United,Tottenham Hotspur,2011-01-22 00:00:00,2010/2011,1,1
England,England Premier League,Wolverhampton Wanderers,Liverpool,2011-01-22 00:00:00,2010/2011,0,3
England,England Premier League,Blackburn Rovers,West Bromwich Albion,2011-01-23 00:00:00,2010/2011,2,0
England,England Premier League,Fulham,Stoke City,2011-01-22 00:00:00,2010/2011,2,0
England,England Premier League,Bolton Wanderers,Chelsea,2011-01-24 00:00:00,2010/2011,0,4
England,England Premier League,Blackpool,Sunderland,2011-01-22 00:00:00,2010/2011,1,2
England,England Premier League,Manchester United,Aston Villa,2011-02-01 00:00:00,2010/2011,3,1
England,England Premier League,Arsenal,Everton,2011-02-01 00:00:00,2010/2011,2,1
England,England Premier League,Sunderland,Chelsea,2011-02-01 00:00:00,2010/2011,2,4
England,England Premier League,Birmingham City,Manchester City,2011-02-02 00:00:00,2010/2011,2,2
England,England Premier League,Bolton Wanderers,Wolverhampton Wanderers,2011-02-02 00:00:00,2010/2011,1,0
England,England Premier League,West Bromwich Albion,Wigan Athletic,2011-02-01 00:00:00,2010/2011,2,2
England,England Premier League,Blackpool,West Ham United,2011-02-02 00:00:00,2010/2011,1,3
England,England Premier League,Liverpool,Stoke City,2011-02-02 00:00:00,2010/2011,2,0
England,England Premier League,Blackburn Rovers,Tottenham Hotspur,2011-02-02 00:00:00,2010/2011,0,1
England,England Premier League,Fulham,Newcastle United,2011-02-02 00:00:00,2010/2011,1,0
England,England Premier League,Tottenham Hotspur,Bolton Wanderers,2011-02-05 00:00:00,2010/2011,2,1
England,England Premier League,West Ham United,Birmingham City,2011-02-06 00:00:00,2010/2011,0,1
England,England Premier League,Aston Villa,Fulham,2011-02-05 00:00:00,2010/2011,2,2
England,England Premier League,Everton,Blackpool,2011-02-05 00:00:00,2010/2011,5,3
England,England Premier League,Newcastle United,Arsenal,2011-02-05 00:00:00,2010/2011,4,4
England,England Premier League,Manchester City,West Bromwich Albion,2011-02-05 00:00:00,2010/2011,3,0
England,England Premier League,Wolverhampton Wanderers,Manchester United,2011-02-05 00:00:00,2010/2011,2,1
England,England Premier League,Stoke City,Sunderland,2011-02-05 00:00:00,2010/2011,3,2
England,England Premier League,Wigan Athletic,Blackburn Rovers,2011-02-05 00:00:00,2010/2011,4,3
England,England Premier League,Chelsea,Liverpool,2011-02-06 00:00:00,2010/2011,0,1
England,England Premier League,Manchester United,Manchester City,2011-02-12 00:00:00,2010/2011,2,1
England,England Premier League,Arsenal,Wolverhampton Wanderers,2011-02-12 00:00:00,2010/2011,2,0
England,England Premier League,Liverpool,Wigan Athletic,2011-02-12 00:00:00,2010/2011,1,1
England,England Premier League,Sunderland,Tottenham Hotspur,2011-02-12 00:00:00,2010/2011,1,2
England,England Premier League,Blackburn Rovers,Newcastle United,2011-02-12 00:00:00,2010/2011,0,0
England,England Premier League,Fulham,Chelsea,2011-02-14 00:00:00,2010/2011,0,0
England,England Premier League,Birmingham City,Stoke City,2011-02-12 00:00:00,2010/2011,1,0
England,England Premier League,Bolton Wanderers,Everton,2011-02-13 00:00:00,2010/2011,2,0
England,England Premier League,West Bromwich Albion,West Ham United,2011-02-12 00:00:00,2010/2011,3,3
England,England Premier League,Blackpool,Aston Villa,2011-02-12 00:00:00,2010/2011,1,1
England,England Premier League,Tottenham Hotspur,Arsenal,2011-04-20 00:00:00,2010/2011,3,3
England,England Premier League,West Ham United,Liverpool,2011-02-27 00:00:00,2010/2011,3,1
England,England Premier League,Aston Villa,Blackburn Rovers,2011-02-26 00:00:00,2010/2011,4,1
England,England Premier League,Everton,Sunderland,2011-02-26 00:00:00,2010/2011,2,0
England,England Premier League,Newcastle United,Bolton Wanderers,2011-02-26 00:00:00,2010/2011,1,1
England,England Premier League,Manchester City,Fulham,2011-02-27 00:00:00,2010/2011,1,1
England,England Premier League,Wolverhampton Wanderers,Blackpool,2011-02-26 00:00:00,2010/2011,4,0
England,England Premier League,Stoke City,West Bromwich Albion,2011-02-28 00:00:00,2010/2011,1,1
England,England Premier League,Wigan Athletic,Manchester United,2011-02-26 00:00:00,2010/2011,0,4
England,England Premier League,Chelsea,Birmingham City,2011-04-20 00:00:00,2010/2011,3,1
England,England Premier League,Arsenal,Sunderland,2011-03-05 00:00:00,2010/2011,0,0
England,England Premier League,Liverpool,Manchester United,2011-03-06 00:00:00,2010/2011,3,1
England,England Premier League,West Ham United,Stoke City,2011-03-05 00:00:00,2010/2011,3,0
England,England Premier League,Newcastle United,Everton,2011-03-05 00:00:00,2010/2011,1,2
England,England Premier League,Manchester City,Wigan Athletic,2011-03-05 00:00:00,2010/2011,1,0
England,England Premier League,Wolverhampton Wanderers,Tottenham Hotspur,2011-03-06 00:00:00,2010/2011,3,3
England,England Premier League,Fulham,Blackburn Rovers,2011-03-05 00:00:00,2010/2011,3,2
